Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5,Sweep 6,Sweep 7,Sweep 8
1,-1.94,-1.3,-2.34,0.51,-1.27,-1.4,0.57,-1.37
2,0.0,-2.24,-2.71,-3.06,-2.21,-2.14,0.51,-2.21
3,0.0,-3.11,-3.65,-9.96,-3.18,-1.7,0.54,-3.18
4,0.0,-4.32,-4.59,-10.83,-4.15,-1.06,0.0,-4.19
5,0.0,-5.23,-5.56,-11.68,-5.16,-10.47,0.0,-5.2
6,0.0,-6.37,-6.64,-12.58,-6.2,-18.13,0.0,-6.24
7,0.0,-7.24,-7.58,-13.46,-7.35,-19.17,0.0,-7.38
α,3.215,0.026,1.215e-06,5.246e-06,0.054,1.054,7.155e-06,0.047
C,0.881,104.246,2.495e+06,1.116e+06,49.793,2.040,-81392.012,57.591
Young's Modulus,6.055,3.008,3.304,6.380,2.917,2.936,-0.635,2.952
Time (ms),43939,14742,16242,33868,16241,37299,43971,14744
