Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5
1,-1.81,-3.39,-0.29,-0.73,-1.57
2,-3.55,-4.53,-0.53,-1.03,-1.81
3,-4.03,-9.34,-0.8,-2.04,-3.79
4,-4.26,-10.55,-2.04,-2.34,-5.3
5,-4.76,-10.75,-4.8,-2.55,-5.81
6,-6.38,-11.25,-6.85,-2.82,-6.08
7,-7.08,-12.29,-7.29,-3.79,-6.31
α,2.991e-06,2.307e-06,0.621,2.540e-06,1.976e-06
C,1.230e+06,3.081e+06,3.399,7.244e+05,1.838e+06
Effective Modulus,4.012,7.749,2.548,2.006,3.959
Young's Modulus,11.758,22.760,10.263,5.874,11.615
Time (ms),28115,47209,40177,19409,33228
