Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5,Sweep 6,Sweep 7,Sweep 8,Sweep 9,Sweep 10,Sweep 11,Sweep 12,Sweep 13,Sweep 14,Sweep 15,Sweep 16
1,-1.3,-1.24,-1.2,-1.5,-1.17,-1.27,-1.27,-1.27,-1.13,-1.17,-1.3,-1.27,-1.3,-1.3,-1.27,-0.26
2,-1.24,-1.54,-1.5,-1.24,-1.27,-1.2,-1.27,-1.24,-1.33,-1.3,-1.27,-1.3,-1.27,-1.27,-1.27,-0.53
3,-1.54,-3.08,-2.28,-3.78,-2.07,-1.57,-1.54,-1.54,-1.54,-1.57,-2.34,-1.54,-3.52,-2.34,-1.54,-3.05
4,-1.77,-5.34,-3.78,-6.1,-5.06,-2.31,-3.85,-1.64,-4.29,-2.14,-4.5,-2.28,-8.29,-6.31,-2.61,-6.04
5,-2.01,-7.32,-5.87,-7.28,-5.3,-2.78,-4.49,-2.58,-6.38,-3.29,-5.5,-3.02,-10.01,-8.02,-3.52,-6.78
6,-3.05,-8.53,-8.52,-7.79,-6.61,-3.31,-7.05,-4.83,-8.06,-4.03,-7.35,-3.79,-11.25,-8.8,-4.29,-7.08
7,-4.76,-8.8,-11.05,-8.06,-7.32,-6.04,-8.29,-6.3,-9.03,-6.55,-7.82,-4.09,-13.27,-9.77,-5.27,-7.32
α,0.372,3.151e-06,0.565,2.298e-06,5.251e-06,0.507,0.374,0.723,0.238,0.559,7.168e-05,3.948e-06,2.621e-04,1.190e-05,0.021,3.454e-06
C,3.997,1.456e+06,5.537,1.934e+06,6.995e+05,3.247,7.596,2.115,15.121,3.144,5.398e+04,5.268e+05,2.459e+04,4.141e+05,114.365,1.170e+06
Effective Modulus,1.696,5.001,3.727,4.844,4.004,1.934,3.248,1.896,4.021,2.091,4.217,2.267,7.026,5.369,2.650,4.405
Young's Modulus,6.094,14.626,14.671,14.189,11.706,7.422,11.669,8.018,13.465,8.219,12.322,6.632,20.531,15.691,7.843,12.898
Time (ms),16285,40744,53638,35172,39485,22175,29155,19943,38417,29074,24962,15548,41798,33797,19914,27464
