Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5,Sweep 6
1,-3.02,-0.53,-1.03,-0.53,-1.3,-0.53
2,-3.92,-0.76,-1.27,-0.76,-2.78,-1.0
3,-7.08,-1.27,-2.51,-1.03,-3.79,-1.57
4,-8.26,-1.77,-2.78,-1.54,-5.03,-2.51
5,-13.07,-2.78,-3.29,-2.78,-5.3,-2.78
6,-14.17,-4.03,-4.03,-4.26,-5.57,-3.05
7,-15.08,-4.76,-4.76,-5.27,-6.11,-3.25
α,1.011e-06,0.178,6.021e-07,0.271,6.021e-07,6.457e-07
C,3.570e+06,3.637,1.797e+06,2.026,2.628e+06,1.256e+06
Effective Modulus,3.936,0.717,1.179,0.615,1.725,0.884
Young's Modulus,12.659,3.308,3.797,3.433,5.585,2.850
Time (ms),18099,16846,19132,19600,20978,14597
