Pad number,Sweep 1,Sweep 2,Sweep 3,Sweep 4,Sweep 5,Sweep 6
1,-1.3,-1.24,-1.2,-1.5,-1.17,-1.27
2,-1.24,-1.54,-1.5,-1.24,-1.27,-1.2
3,-1.54,-3.08,-2.28,-3.78,-2.07,-1.57
4,-1.77,-5.34,-3.78,-6.1,-5.06,-2.31
5,-2.01,-7.32,-5.87,-7.28,-5.3,-2.78
6,-3.05,-8.53,-8.52,-7.79,-6.61,-3.31
7,-4.76,-8.8,-11.05,-8.06,-7.32,-6.04
α,0.372,3.151e-06,0.565,2.298e-06,5.251e-06,0.507
C,3.997,1.456e+06,5.537,1.934e+06,6.995e+05,3.247
Effective Modulus,1.696,5.001,3.727,4.844,4.004,1.934
Young's Modulus,6.094,14.626,14.671,14.189,11.706,7.422
Time (ms),16285,40744,53638,35172,39485,22175
